,genre,popularity
479,reasoning,59.2
480,club,514.7
481,club,384.1
482,club,369.3
483,club,249.7
484,club,220.2
485,club,144.2
486,club,138.5
487,club,128.7
488,club,127.6
489,club,122.5
490,club,119.9
491,club,103.6
492,club,88.4
493,club,81.8
494,club,73.9
495,club,67.3
496,club,65.3
497,club,63.8
498,club,55.3
499,club,54.9
500,wit,514.7
501,wit,413.6
502,wit,339.3
503,wit,279.3
504,wit,269.3
505,wit,226.7
506,wit,150.4
507,wit,128.9
508,wit,124.6
509,wit,115.3
510,wit,114.1
511,wit,103.2
512,wit,100.5
513,wit,93.9
514,wit,86.4
515,wit,85.6
516,wit,81.7
517,wit,80.6
518,wit,79.0
519,wit,78.1
520,tear,624.3
521,tear,486.4
522,tear,395.7
523,tear,373.8
524,tear,355.1
525,tear,295.1
526,tear,277.1
527,tear,249.7
528,tear,127.6
529,tear,122.5
530,tear,119.9
531,tear,116.7
532,tear,106.7
533,tear,95.8
534,tear,94.3
535,tear,85.2
536,tear,78.3
537,tear,73.6
538,tear,57.9
539,tear,56.9
540,food,597.7
541,food,443.8
542,food,382.9
543,food,355.9
544,food,322.5
545,food,296.4
546,food,294.2
547,food,275.5
548,food,269.3
549,food,260.3
550,food,243.6
551,food,238.4
552,food,230.3
553,food,201.1
554,food,196.3
555,food,196.1
556,food,144.2
557,food,138.5
558,food,135.1
559,food,132.9
560,idol,346.8
561,idol,312.8
562,idol,239.3
563,idol,219.3
564,idol,180.1
565,idol,167.3
566,idol,133.1
567,idol,110.9
568,idol,97.0
569,idol,67.6
570,idol,59.6
571,idol,40.3
572,idol,40.1
573,idol,38.9
574,idol,35.1
575,idol,30.2
576,idol,27.2
577,idol,26.1
578,idol,24.3
579,idol,19.8
580,shounen ai,346.8
581,shounen ai,312.8
582,shounen ai,239.3
583,shounen ai,219.3
584,shounen ai,180.1
585,shounen ai,167.3
586,shounen ai,133.1
587,shounen ai,110.9
588,shounen ai,97.0
589,shounen ai,67.6
590,shounen ai,59.6
591,shounen ai,40.3
592,shounen ai,40.1
593,shounen ai,38.9
594,shounen ai,35.1
595,shounen ai,30.2
596,shounen ai,27.2
597,shounen ai,26.1
598,shounen ai,24.3
599,shounen ai,19.8
600,job,165.8
601,job,150.4
602,job,114.1
603,job,107.7
604,job,80.6
605,job,76.6
606,job,75.5
607,job,59.9
608,job,59.9
609,job,59.3
610,job,59.2
611,job,58.4
612,job,50.3
613,job,48.9
614,job,44.3
615,job,44.3
616,job,40.8
617,job,39.7
618,job,34.8
619,job,31.9
